time,"V(3)","V(4)","V(5)","V(6)"
6.600000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.625000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.650000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.675000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.700000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.725000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.750000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.775000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.800000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.825000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.850000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.875000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.900000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.925000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.950000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
6.975000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.000000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.025000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.050000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.075000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.100000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.125000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.150000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.175000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.200000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.225000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.250000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.275000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.300000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.325000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.350000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.375000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.400000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.425000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.450000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.475000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.500000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.525000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.550000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.575000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.600000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.625000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.650000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.675000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.700000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.725000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.750000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.775000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.800000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.825000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.850000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.875000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.900000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
7.925000e-11,-2.287529e-05,-9.438653e-06,-9.020739e-06,-7.447711e-06
